88 爱在日落黄昏时 8.7 144040人评价  九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
89 风之谷 8.8 129344人评价  动画片的圣经。
90 燃情岁月 8.8 118098人评价  传奇，不是每个人都可以拥有。
91 加勒比海盗 8.5 246730人评价  约翰尼·德普的独角戏。
92 告白 8.6 241847人评价  没有一人完全善，也没有一人完全恶。
93 驯龙高手 8.7 206206人评价  和谐的生活离不开摸头与被摸头。
94 虎口脱险 8.9 82527人评价  永远看不腻的喜剧。
95 阿凡达 8.6 413944人评价  绝对意义上的美轮美奂。
96 侧耳倾听 8.8 117620人评价  少女情怀总是诗。
97 致命ID 8.5 216403人评价  最不可能的那个人永远是最可能的。
98 真爱至上 8.5 237446人评价  爱，是个动词。
99 菊次郎的夏天 8.7 123701人评价  从没见过那么流氓的温柔，从没见过那么温柔的流氓。
100 超脱 8.7 113823人评价  穷尽一生，我们要学会的，不过是彼此拥抱。
101 禁闭岛 8.5 248713人评价  昔日翩翩少年，今日大腹便便。
102 电锯惊魂 8.6 149889人评价  真相就在眼前。
103 幸福终点站 8.6 176180人评价  有时候幸福需要等一等。 
104 摩登时代 9.1 55586人评价  大时代中的人生，小人物的悲喜。
105 猜火车 8.5 187267人评价  不可猜的青春迷笛。 
106 神偷奶爸 8.5 269528人评价  Mr. I Don't Care其实也有Care的时候。
107 借东西的小人阿莉埃蒂 8.7 160292人评价  曾经的那段美好会沉淀为一辈子的记忆。
108 东邪西毒 8.5 190308人评价  电影诗。
109 穿越时空的少女 8.7 132233人评价  爱上未来的你。 
110 岁月神偷 8.6 235687人评价  岁月流逝，来日可追。
111 魂断蓝桥 8.8 101523人评价  中国式内在的美国电影。
112 雨人 8.6 158310人评价  生活在自己的世界里，也可以让周围的人显得可笑和渺小。
113 贫民窟的百万富翁 8.5 319353人评价  上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
114 七武士 9.1 51120人评价  时代悲歌。
115 断背山 8.5 234524人评价  每个人心中都有一座断背山。
116 恋恋笔记本 8.5 202270人评价  爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 
117 记忆碎片 8.5 198702人评价  一个针管引发的血案。
